time a b c w1 w2
64.02716000003616 1.0 1.0 0.9858893752098083 -3.332801057354118e-08 -3.332801057354118e-08
64.5442800000408 1.0 1.0 0.9802284836769104 -3.332801057354118e-08 -3.332801057354118e-08
64.95388000004446 1.0 1.0 0.9740344285964966 -3.332801057354118e-08 -3.332801057354118e-08
65.12284000004598 1.0 1.0 0.9708529710769653 -3.332801057354118e-08 -3.332801057354118e-08
65.15356000004626 1.0 1.0 0.9702224731445312 -3.332801057354118e-08 -3.332801057354118e-08
65.44028000004883 1.0 1.0 0.9632410407066345 -3.332801057354118e-08 -3.332801057354118e-08
65.76796000005177 1.0 1.0 0.952359676361084 -3.332801057354118e-08 -3.332801057354118e-08
66.42332000005764 1.0 1.0 0.921696126461029 -3.332801057354118e-08 -3.332801057354118e-08
67.30222625005764 1.0 1.0 0.8638297915458679 -3.332801057354118e-08 -3.332801057354118e-08
68.18113250005764 1.0 1.0 0.7874906063079834 -3.332801057354118e-08 -3.332801057354118e-08
69.06003875005764 1.0 1.0 0.6952773332595825 -3.332801057354118e-08 -3.332801057354118e-08
69.93894500005764 1.0 1.0 0.5917245745658875 -3.332801057354118e-08 -3.332801057354118e-08
70.81785125005763 1.0 1.0 0.4804072380065918 -3.332801057354118e-08 -3.332801057354118e-08
71.69675750005763 1.0 1.0 0.3636939227581024 -3.332801057354118e-08 -3.332801057354118e-08
72.57566375005763 1.0 1.0 0.24346551299095154 -3.332801057354118e-08 -3.332801057354118e-08
73.45457000005763 1.0 1.0 0.12342692911624908 -3.332801057354118e-08 -3.332801057354118e-08
73.98211008190073 1.0 1.0 0.05630912631750107 -3.332801057354118e-08 -3.332801057354118e-08
74.26695786472739 1.0 1.0 0.02603832446038723 -3.332801057354118e-08 -3.332801057354118e-08
74.46765903292481 1.0 1.0 0.009487573988735676 -3.332801057354118e-08 -3.332801057354118e-08
74.58537123296786 1.0 1.0 0.001999547006562352 -3.332801057354118e-08 -3.332801057354118e-08
74.62799780080626 1.0 1.0 0.00014497833035420626 -3.332801057354118e-08 -3.332801057354118e-08
74.63714243960759 1.0 1.0 -3.338644916084377e-08 -3.332801057354118e-08 -3.332801057354118e-08
89.99999999999999 1.0 1.0 -3.340776189020289e-08 -3.332801057354118e-08 -3.332801057354118e-08
90.0001 1.0 1.0 -3.338043441658556e-08 -3.332892006824295e-08 -3.332801057354118e-08
90.0003 1.0 1.0 -3.335518528047032e-08 -3.333162368335252e-08 -3.332889875196088e-08
90.0007 1.0 1.0 -3.3326806203604065e-08 -3.333099840574505e-08 -3.3332192117541126e-08
90.001 1.0 1.0 -3.3297006041266286e-08 -3.3325061821187774e-08 -3.333333253863202e-08
119.99999999999999 1.0 1.0 -3.3297006041266286e-08 -3.3325061821187774e-08 -3.333333253863202e-08
120.0001 1.0 1.0 -3.3297006041266286e-08 -3.3325061821187774e-08 -3.333333253863202e-08
120.0003 1.0 1.0 -3.3297006041266286e-08 -3.3325061821187774e-08 -3.333333253863202e-08
